handle,name,rating,title,text,verified,photo
ghost-swing-5ft-remote,C**l A**n,5,,"Top quality product! I was blown away when I opened this package and the swing is made of real wood in authentic rope! I haven’t put it up yet but so far I’m really impressed with the quality! If you’re interested in one of these, you better order quick I have a feeling they will sell out fast! I will post more pictures when I put it up for Halloween",yes,
ghost-swing-5ft-remote,C**e i**y,2,,"Shipping was very fast, but I’m not sure who to contact to get a replacement? It arrived damaged with the head cracked fully open maybe from transit??. If I get a replacement it would definitely be a 5. The swing & rope are good quality.",yes,
ghost-swing-5ft-remote,💫**K ☮**💫,5,,"This was probably one of the best investments I ever did. I love the ghost obviously it’s not up yet, but October is right around the corner. Can’t wait to see how it looks at the perfect spot for it.",yes,
cauldron-fog-potion,b**e,4,,"4 stars because they forgot the liquid add on things, and because you have to heat up the plastic straw and bend it more for it to not splash like crazy. It still splashes a tiny bit but the misting works well and it looks cool. Decently cheap Halloween decoration but put a towel underneath it.",yes,
cauldron-fog-potion,I**e I**s T**,5,,UPDATE taking a hairdryer & warm the plastic putting more bend on it helps and completely fixes splashing. Changed to 5⭐ Truly it's awesome. Easy to put together. The skeleton will need to be glued in place and it splashes no matter how little or much water you put in.,yes,
cauldron-fog-potion,C**💫,5,,"Makes me SO HAPPY! It has A FOG machine, a light if you want to put it outside, and it looks so spooky fun. DIYing one of these is so expensive because of the sub-pump. This is a STEAL! Going to grab the purple bubble witch one next.",yes,
cauldron-fog-potion,K**i,1,,"Don’t waste your money, terrible instructions, and broken on first day. Unfollow for me I didn’t take out of the box until the 30 day return had passed.",yes,
tripod-cauldron-fog,I**C,5,,Love this skeleton in cauldron prop. Setup is super easy and took me less than 5 minutes. You can use both indoor and outdoor so that’s a plus. The mister starts working as soon as you plug it in. Recommend to all spooky enthusiasts.,yes,
tripod-cauldron-fog,S**r,4,,Easy to set up and fun to see in action! Will make a nice addition to our Halloween party. I do wish the skeleton was a little easier to pose (I’ll most likely switch him out for one of my own) and I wish the fog was more powerful.,yes,
tripod-cauldron-fog,P**r,5,,Seller was fast at shipping and it was packed good. Good price for what it is. I thought it would be bigger than it is.,yes,
tripod-cauldron-fog,M**a J**n,5,,I love it my grand babies love it so much. I have to say best thing I have bought for Halloween so far!!,yes,
laser-swamp-projector,l**7,3,,This gadget works if you are expecting a color straight lighted line. Even with smoke machines. I recommend a projector of an animated swamp or moving swamp/river onto floor with smoke machine to get similar effect as in the AI product video,yes,
laser-swamp-projector,S**🍷,5,,This was easy to put together and works as advertised. The laser also reaches a good distance so you can place it out of the way. I’ll probably get another one. It’s perfect for my Halloween set up!,yes,
laser-swamp-projector,a**n w**s,5,,"this effect is pretty cool, everyone i show likes it as well. i purchased the red and green, then had to come back and get the blue and purple.",yes,
laser-swamp-projector,a**n w**s,5,,this effect is cool; folks i have shown think so as well. i purchased the red and green and had to come back to get the blue and purple.,yes,
witch-broom-light-music,J**s,5,,"It’s so loud it’s crazy, perfect for haunted houses and Halloween parties and it actually stands up and has little feet like a wind up toy that really does run around and doesn’t fall over. And it lights up! Pretty neat. Way better than I thought.",,
witch-broom-light-music,G**C,1,,It’s telling me it came but I havE not received it . Pluse not only did it not come it taken a long time to get this far and then it’s not here,yes,
witch-broom-light-music,T**a,1,,Junk! Do not waste your money! Will not stand plays western music not even at all what was pictured. Just complete trash!,yes,
witch-broom-light-music,E**🍀,5,,"Me encantó está escoba muy Linda y llamativo la recomiendo un 100/10 musica , luces y movimiento en el mismo lugar.",yes,
led-bats-purple-36,C**3,3,,"I didn’t realize these were flashing lights. I’m sure I just missed it. And then once you get all of the bats, you have to turn on each one individually (obviously) but when they’re all flashing…just not worth it. I also worry about them pulling paint off when I take them off the wall. For those reasons, I wouldn’t purchase again.",yes,
led-bats-purple-36,M**a,5,,I love these! I got them for a halloween party and they’re perfect. I wish it came with more stickers so you could reuse them but you could purchase more anywhere. Another thing I noticed is I’m not sure if you’re able to take the battery’s out that are currently in them to reuse them after they die,yes,
led-bats-purple-36,C**,5,,"Stickers would sometimes fall off the wall- but that’s just because of how my walls are. Kind of pesky to turn each individual bat on, but it’s a great product",yes,
led-bats-purple-36,a**_,5,,Product worked very great 👍👍👍👍💯 looks and works even better in person but a absolutely perfect Halloween decoration 🎃👻🎃👻,yes,
bat-decals-lightup,S**y,4,,Battery’s run out quick and each individual battery has to be turned on but still looks super cool. Takes a little bit to get it set up. It’s durable so far. The color and effect is blue red and purple but I wish I was more of orange and red. It gives patriotic bats. Building it takes a while. No problem with heat because I do not have it installed in the kitchen.,yes,
bat-decals-lightup,L**7,2,,Yea no way am I turning on & off all 24 bats. Terrible concept. They should 100% come with a controller. Each bat takes 3 of those mini circle batteries which from my experience do not last long at all & they are very expensive to replace. If you’re buying these for one night I’m sure it will be great but I will be returning these.,yes,
bat-decals-lightup,s**_,5,,"If you want an easy way to make your home feel Halloween-ready, these bat lights are such a cute decoration! 🦇🎃 I love how the little bats add that spooky touch without being too scary. They’re perfect for decorating a wall, window, porch, or even a Halloween party setup. ✨🖤 Definitely an easy way to make your space feel festive!",yes,
bat-decals-lightup,S**e,4,,"They are very cute and I love them, I don’t like that they have switches. I would prefer a button to tap on/off. As the switches are a little stiff. They come in different sizes and bat shapes (yes there can be more then 1 lol), i would suggest these to friends and family to help create their spooky vibe.",yes,
witch-bat-magnet-set,🦇**🦇,3,,They are cute but could be packaged better for travel. Most came bent and don't lay flat on the vehicle which will make them fly off in the wind.,yes,
witch-bat-magnet-set,L**B,4,,Cute bat magnets! And so many of them in a pack! Some are a bit too small and don’t stick as well. Overall I’m happy I got them,yes,
witch-bat-magnet-set,H**y R**e K**g,5,,"Absolutely love my bats I put them on everything the car, my front door, and the refrigerator. Kids love them too!",yes,
witch-bat-magnet-set,b**y,4,,Really cute but some came folded so now I can’t get it to lay flat. Hoping over time it will flatten.,yes,
advent-calendar-31-nights,🎀** Ë** L**🎀,1,,No los compren nada que ver con los que supuestamente compré ! Era para un regalo pero la verdad nada que ver con los que yo pedí que decepción!!,yes,
advent-calendar-31-nights,J** K**y,5,,"All the little characters are so cute, I love them all, I'm not young so I didn't need the 15 days of freight.",yes,
bathroom-set-vintage,I**e,1,,"Looks great, love the designs, same as the kitchen set… towels are garbage, toilet seat cover is a insanely thin piece of fabric with 2 straps to secure it, floor toilet seat mat is really small, secondarily floor mat covers mainly a small area of a sink, can’t complain about the shower curtain however it’s sitting on top of a darker color main shower curtain so the thinner shower curtain doesn’t look see through.",yes,
bathroom-set-vintage,G**t,1,,The way they seal the rugs makes them come absolutely wrinkled and bent weird. U could definitely find a higher quality set that actually looks good on arrival for cheaper,yes,
bathroom-set-vintage,K**e K**t,5,,Great quality and looks exactly like the photos. The front side of the hand towels are a little rough for my liking (soft backside though). I still love it all!,yes,
bathroom-set-vintage,F**o R**z,5,,Like this product. Disappointed it did NOT come with the 4 towels as stated. They should of not indicated 4 towels included with set,yes,
boo-kitchen-rug-set,S**e,5,,"For the price, these rugs are perfect. While I do wish they had a little more padding in them, they are pretty durable and the perfect sizes.",yes,
boo-kitchen-rug-set,B**y E**l,5,,I love these cute & simple rugs!! Easy to clean!! I’ve washed them in the washer & they come out so clean & no damage!,yes,
boo-kitchen-rug-set,A**l,4,,Material & Comfort: Not the rug material I thought it would be. Very nice design but thin and sort of slippery.,yes,
boo-kitchen-rug-set,g**8,1,,Cheap quality on the rug . Not good . I’ll go to target or Marshall’s and look for a Halloween rug .,yes,
ghost-candy-bowl-glow,d**n,1,,0/5 faulty item would not recommend or buy again. The part that should have been welded to the top of the post was not!!! This is the only way the bowl will stay connected to the stand! What a piece of junk and waste of space. Ridiculous I even have to return this item when it’s faulty and trash!,yes,
ghost-candy-bowl-glow,F**e,5,,This is the perfect way to make your porch stand out for Halloween without spending a whole lot of money. It's super cute and we love it!,,
ghost-candy-bowl-glow,⚡**️,5,,"Looks just like the picture. Its so cute, come with a water weight bag to hold it down and a remote for the lights. Worth every penny.",yes,
ghost-candy-bowl-glow,A**s D**s A**e **,2,,Looks super cheap and the white cloth is not as white it’s see through and sheer not as flowy as picture stated,yes,
led-candy-totes,N**i **,5,,These bags were a HUGE hit! My kiddo and nephews were the only ones in the neighborhood with them! Everyone commented and asked where I got them! Kept the kiddos easily visible and they had a blast! They’re also pretty durable as my almost 3 year old drug his bag behind him on the concrete the whole night and no holes and no candy fell out 😂 will be getting them again next year!,yes,
led-candy-totes,S**h,1,,"My green bag, caught fire, with about an hour of use. I'm very grateful this wasn't left unattended in my home. Use with caution. It's a bulb, wire malfunction. Zoom in on the picture. You can see where it started. I noticed, because I just put brand new energizer batteries in it, and it was flickering. Very dangerous unattended!!!! Use extreme caution.",yes,
led-candy-totes,A**y H**f,2,,"Would be great if they all worked. Received only 2 working bags. The third had a battery pack that didn’t have any of the metal pieces to make the batteries work. Also, picture shows all bags having yellow lights but I received one bag with multi colored lights and one with yellow lights.",yes,
led-candy-totes,M**M,1,,I got these because I couldn't find any blue pumpkins for my autistic daughter to use for trick or treating.. and I open the package and find out that the cover to every single battery pack is broken.. will not order again.,yes,
resin-skeleton-ornament,P**3,1,,This does not deserve a rating whatsoever in my mind. I was really looking forward to these because I love skeletons and also my son loves skeletons. But as you can see the picture they showed up broken and I’m missing a leg. I am so disappointed.,yes,
resin-skeleton-ornament,R**,5,,So cool. But very fragile. But they kicked us off this year for Holloween now we got all sorts of decorations. But these are pretty cool for sure. They would be a nice addition to any place.,yes,
resin-skeleton-ornament,J**e,3,,"The skeletons are cute however mine arrived broken, even though they were well packaged in Styrofoam. I do not know how to contact the seller regarding this issue.",yes,
resin-skeleton-ornament,K** B** M**t M** **,5,,"If you like Halloween, I highly recommend this! It is so cute to go on your TV stand or any dresser/table. It has a good weight to it, and they are just so cute!",yes,
skeleton-cardigan-black,R** B**a,4,,The sweater is great. I love the cozy fit and texture of it and it's super cute. My only complaint is the lack of durability of the button holes. I had to go in with a button hole stitch to make sure fastening and unfastening didn't ruin the integrity of the sweater. Something to improve on.,yes,
skeleton-cardigan-black,W**y,5,,This is my new favorite sweater. Around the house or in the mornings when I need to take my child to school. This sweater is what I grab now because it is so soft. I ordered a size up so it would be big. This satisfies my inner 90s goth even when I don't leave the house.,yes,
skeleton-cardigan-black,🦇**🖤,2,,I love my skeleton print cardigan but….. after the 2x i wore the cardigan it stared getting all fuzzy around the arm areas. I Love it so much but I wish that would let be an issue,yes,
